name,slug,type,description,address,city,state,county,zip_code,phone,email,website,age_range_min,age_range_max,age_min_months,age_max_months,capacity,license_number,is_verified_by_gov,source,ages_served_raw,lat,lng
KINDERCARE EDUCATION AT WORK LLC,kindercare-education-at-work-llc-new-york-4382,daycare,,311 Greenwich  Street,New York,NY,Manhattan,10013,+12129621316,,,0,2,,24,72,104382,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",bright-horizons-children-s-centers-llc-new-york-2097,school,,258 WEST 26TH STREET,New York,NY,Manhattan,10001,+12123664365,,www.brighthorizons.com/chelsea,2,5,24.0,60,37,102097,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS AT WEST 53RD,bright-horizons-at-west-53rd-new-york-5479,school,,540 West 53 Street,New York,NY,Manhattan,10019,+13322328005,,,2,5,24.0,60,51,105479,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KIDS IN THE GAME LLC,kids-in-the-game-llc-new-york-5666,camp,,532 WEST  215 STREET,New York,NY,Manhattan,10034,+12126347262,,www.kidsinthegame.com,0,16,,192,0,105666,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
THE CHILDREN'S LEARNING CENTER AT HUNTER COLLEGE,the-children-s-learning-center-at-hunter-college-new-york-5145,school,,695 PARK AVENUE,New York,NY,Manhattan,10065,+12127724066,,www.hunter.cuny.edu/studentservices/clc,2,5,24.0,60,40,5145,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
LITTLE MISSIONARY'S DAY NURSERY,little-missionary-s-day-nursery-new-york-4571,school,,93 ST MARK'S PLACE,New York,NY,Manhattan,10009,+12127779774,,lmdn.org,2,5,24.0,60,84,4571,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"THE RED BALLOON DAY CARE CENTER, INC.",the-red-balloon-day-care-center-inc-new-york-0724,school,,560 RIVERSIDE DRIVE,New York,NY,Manhattan,10027,+12126639006,,www.redballoonlearningcenter.org,2,5,24.0,60,45,0724,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KIDS IN THE GAME,kids-in-the-game-new-york-5178,camp,,44 EAST    2 STREET,New York,NY,Manhattan,10003,+16095339456,,www.kidsinthegame.com,0,16,,192,50,105178,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
GODDARD RIVERSIDE COMMUNITY CENTER,goddard-riverside-community-center-new-york-2061,school,,114 WEST 91 STREET,New York,NY,Manhattan,10024,+12128736865,,www.goddard.org,2,5,24.0,60,93,2061,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"INTERNATIONAL PRESCHOOLS, INC.",international-preschools-inc-new-york-1678,school,,345 EAST 86TH STREET,New York,NY,Manhattan,10028,+12123718604,,www.ipsnyc.org,2,5,24.0,60,98,51678,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,st-bartholomew-community-pre-school-foundation-new-york-4366,school,,109 EAST 50 STREET,New York,NY,Manhattan,10022,+12123780238,,www.stbarts.org/preschool,2,5,24.0,60,80,4366,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
CHILDREN'S ALL DAY SCHOOL,children-s-all-day-school-new-york-4270,school,,109 EAST 60 STREET,New York,NY,Manhattan,10022,+12127524566,,www.childrensallday.org,2,5,24.0,60,64,4270,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
UNIVERSITY PLAZA NURSERY SCHOOL,university-plaza-nursery-school-new-york-6016,school,,110 BLEECKER STREET,New York,NY,Manhattan,10012,+12126773916,,www.universityplazanursery.org,2,5,24.0,60,69,6016,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE GILLEN BREWER SCHOOL,the-gillen-brewer-school-new-york-1886,school,,410 EAST 92 STREET,New York,NY,Manhattan,10128,+12128313667,,,3,5,36.0,60,24,DC11886,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
CORLEARS SCHOOL,corlears-school-new-york-2599,school,,324 WEST 15 STREET,New York,NY,Manhattan,10011,+12127412800,,www.corlearsschool.org,3,5,36.0,60,85,DC2599,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
"SHUGAH BAYBEES CDC, INC",shugah-baybees-cdc-inc-new-york-5111,daycare,,129 - 135 West  138 Street,New York,NY,Manhattan,10030,+19178223019,,Shugahbaybeesnyc.com,0,2,,24,30,105111,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",bright-horizons-children-s-centers-llc-new-york-2097,school,,258 WEST 26TH STREET,New York,NY,Manhattan,10001,+12123664365,,www.brighthorizons.com/chelsea,2,5,24.0,60,37,102097,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS AT EAST VILLAGE,bright-horizons-at-east-village-new-york-5145,daycare,,526 E 14TH ST,New York,NY,Manhattan,10009,+13322558506,,www.brighthorizons.com,0,2,,24,54,105145,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
THE FAMILY ANNEX INC.,the-family-annex-inc-new-york-4765,daycare,,560 WEST 113 STREET,New York,NY,Manhattan,10025,+12127493271,,www.familyannex.org,0,2,,24,11,4765,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTERS,bright-horizons-children-s-centers-new-york-4818,daycare,,100 WEST 89TH STREET,New York,NY,Manhattan,10024,+16469300380,,WWW.BRIGHTHORIZONS.COM/WEST89T,0,2,,24,27,74818,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
TEACHERS COLLEGE,teachers-college-new-york-4925,school,,525 WEST 120TH STREET,New York,NY,Manhattan,10027,+12126783403,,www.tc.columbia.edu/centers/ho,2,5,24.0,60,22,4925,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KinderCare Education LLC,kindercare-education-llc-new-york-5281,daycare,,99 JOHN ST,New York,NY,Manhattan,10038,+12123492423,,,0,2,,24,42,105281,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
Y M/Y W H A OF WASHINGTON HEIGHTS & INWOOD INC.,y-m-y-w-h-a-of-washington-heights-inwood-inc-new-york-1605,school,,54 NAGLE AVENUE,New York,NY,Manhattan,10040,+16467386090,,www.ywashhts.org,2,5,24.0,60,135,1605,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
VIVVI 2 LLC,vivvi-2-llc-new-york-5233,school,,100 Church Street,New York,NY,Manhattan,10007,+12126020829,,www.vivvi.com,2,5,24.0,60,105,105233,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"BEGINNINGS NURSERY SCHOOL, INC.",beginnings-nursery-school-inc-new-york-9240,school,,130 EAST 16TH STREET,New York,NY,Manhattan,10003,+12122285679,,www.beginningsnursery.org,2,5,24.0,60,74,9240,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
MONTESSORI  FAMILY SCHOOL OF MANHATTAN,montessori-family-school-of-manhattan-new-york-4730,daycare,,323 EAST 47 STREET,New York,NY,Manhattan,10017,+12126885950,,,0,2,,24,20,4730,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTERS LLC,bright-horizons-children-s-centers-llc-new-york-4126,daycare,,745 7TH AVENUE,New York,NY,Manhattan,10019,+12125261724,,www.brighthorizons.com/barclay,0,2,,24,16,104126,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",bright-horizons-children-s-centers-llc-new-york-7267,school,,435 EAST 70 STREET,New York,NY,Manhattan,10021,+12127466543,,www.brighthorizons.com,2,5,24.0,60,51,7267,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BUCKLE MY SHOE,buckle-my-shoe-new-york-4842,school,,230 WEST 13 STREET,New York,NY,Manhattan,10011,+12128070518,,https://www.bucklemyshoe.org,2,5,24.0,60,30,4842,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"UNION SETTLEMENT ASSOCIATION, INC.",union-settlement-association-inc-new-york-1460,school,,1565 MADISON AVENUE,New York,NY,Manhattan,10029,+12128286078,,www.unionsettlement.org,2,5,24.0,60,91,1460,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION,the-young-men-s-and-young-women-s-hebrew-association-new-york-1940,school,,1395 LEXINGTON AVENUE,New York,NY,Manhattan,10128,+12124155532,,www.92NY.ORG,2,5,24.0,60,171,1940,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ESCUELA HISPANA  MONTESSORI,escuela-hispana-montessori-new-york-8173,school,,180 SUFFOLK STREET,New York,NY,Manhattan,10002,+16464377340,,escuelahispanaelc.com,2,5,24.0,60,187,8173,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRITISH INTERNATIONAL SCHOOL,british-international-school-new-york-5129,school,,20 WATERSIDE PLAZA,New York,NY,Manhattan,10010,+12126955980,,,3,5,36.0,60,45,DC15129,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
BRIGHT HORIZONS AT EAST VILLAGE,bright-horizons-at-east-village-new-york-5144,school,,526 E 14TH ST,New York,NY,Manhattan,10009,+13322558506,,www.brighthorizons.com,2,5,24.0,60,54,105144,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
EVERBROOK ACADEMY,everbrook-academy-new-york-7192,school,,225 EAST 38 STREET,New York,NY,Manhattan,10016,+12126828080,,,2,5,24.0,60,58,7192,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
GUIDEPOST MONTESSORI AT COLUMBUS SQUARE,guidepost-montessori-at-columbus-square-new-york-5788,daycare,,775 COLUMBUS AVE,New York,NY,Manhattan,10025,+15513331337,,https://polis.school,0,2,,24,18,105788,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
MONTCLARE CHILDREN'S SCHOOL LLC,montclare-children-s-school-llc-new-york-6953,school,,747 AMSTERDAM AVENUE,New York,NY,Manhattan,10025,+12128654020,,Montclareschool.org,2,5,24.0,60,245,6953,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"HAMILTON MADISON HOUSE, INC.",hamilton-madison-house-inc-new-york-6900,school,,77 MARKET STREET,New York,NY,Manhattan,10002,+16467070321,,hmhonline.org,2,5,24.0,60,38,6900,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"BRIGHT HORIZONS  CHILDREN'S CENTERS, LLC",bright-horizons-children-s-centers-llc-new-york-1198,school,,409 EAST 60TH STREET,New York,NY,Manhattan,10022,+12127504534,,www.brighthorizons.com,2,5,24.0,60,24,51198,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS AT EAST VILLAGE,bright-horizons-at-east-village-new-york-5144,school,,526 E 14TH ST,New York,NY,Manhattan,10009,+13322558506,,www.brighthorizons.com,2,5,24.0,60,54,105144,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
RENAISSANCE VILLAGE LLC.,renaissance-village-llc-new-york-7707,school,,220 CABRINI BOULEVARD,New York,NY,Manhattan,10033,+12129287855,,WWW.RENVILLAGE.COM,2,5,24.0,60,29,7707,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
RENAISSANCE VILLAGE LLC.,renaissance-village-llc-new-york-7707,school,,220 CABRINI BOULEVARD,New York,NY,Manhattan,10033,+12129287855,,WWW.RENVILLAGE.COM,2,5,24.0,60,29,7707,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
INTERNATIONAL ACADEMY OF NEW YORK,international-academy-of-new-york-new-york-5049,school,,4 EAST   90 STREET,New York,NY,Manhattan,10128,+12126410260,,,2,5,24.0,60,80,105049,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"BEGINNINGS NURSERY SCHOOL, INC.",beginnings-nursery-school-inc-new-york-9240,school,,130 EAST 16TH STREET,New York,NY,Manhattan,10003,+12122285679,,www.beginningsnursery.org,2,5,24.0,60,74,9240,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
FRIENDS OF CROWN HEIGHT EDUCATIONAL CENTERS,friends-of-crown-height-educational-centers-new-york-6538,school,,3732 10TH AVENUE,New York,NY,Manhattan,10034,+12125675655,,fochdaycare.org,2,5,24.0,60,64,26538,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
COLUMBIA GREENHOUSE NURSERY SCHOOL,columbia-greenhouse-nursery-school-new-york-2049,school,,404 WEST 116 STREET,New York,NY,Manhattan,10027,+12126664796,,columbiagreenhouse.com,2,5,24.0,60,50,2049,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BASIC TRUST,basic-trust-new-york-3795,daycare,,127 WEST 94TH STREET,New York,NY,Manhattan,10025,+12122226602,,www.basictrust.org,0,2,,24,18,103795,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL,all-my-children-daycare-and-nursery-school-new-york-5462,school,,622 Amsterdam Avenue,New York,NY,Manhattan,10024,+17187302370,,,2,5,24.0,60,40,105462,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE CALHOUN SCHOOL,the-calhoun-school-new-york-2591,school,,160 WEST 74 STREET,New York,NY,Manhattan,10023,+12124976550,,,3,5,36.0,60,152,DC2591,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
BANK STREET COLLEGE FAMILY CENTER,bank-street-college-family-center-new-york-5728,school,,610 WEST 112 STREET,New York,NY,Manhattan,10025,+12128754412,,www.bankstreet.edu,2,5,24.0,60,50,5728,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,young-men-s-christian-association-of-greater-new-york-new-york-5205,daycare,,5 WEST 63 STREET,New York,NY,Manhattan,10023,+12129122652,,ymcanyc.org/westside,0,2,,24,30,5205,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,young-men-s-christian-association-of-greater-new-york-new-york-5205,daycare,,5 WEST 63 STREET,New York,NY,Manhattan,10023,+12129122652,,ymcanyc.org/westside,0,2,,24,30,5205,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"FORT GEORGE COMMUNITY SERVICES, INC.",fort-george-community-services-inc-new-york-7832,school,,601 WEST 186TH  STREET,New York,NY,Manhattan,10033,+12129272210,,www.fortgeorgecenter.org,2,5,24.0,60,51,7832,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
Eastside Day School LLC,eastside-day-school-llc-new-york-3853,daycare,,1520 YORK AVENUE,New York,NY,Manhattan,10028,+12127341000,,eastsidedayschool.com,0,2,,24,28,103853,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTER,bright-horizons-children-s-center-new-york-7648,school,,888 MAIN STREET,New York,NY,Manhattan,10044,+12127505301,,www.brighthorizons.com/octagon,2,5,24.0,60,32,7648,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE ROCKEFELLER UNIVERSITY,the-rockefeller-university-new-york-7784,school,,1230 YORK AVE,New York,NY,Manhattan,10065,+12123277071,,www.rockefeller.edu,2,5,24.0,60,77,7784,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"THE EDUCATIONAL ALLIANCE, INC.",the-educational-alliance-inc-new-york-6531,daycare,,197 EAST BROADWAY,New York,NY,Manhattan,10002,+16463954233,,www.edalliance.org,0,2,,24,66,6531,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
THE ECOLE,the-ecole-new-york-5308,daycare,,206 5TH AVE,New York,NY,Manhattan,10010,+16465865105,,THEECOLE.ORG,0,2,,24,12,105308,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"RENA DAY CARE CENTERS, INC.",rena-day-care-centers-inc-new-york-4322,school,,639 EDGECOMBE AVENUE,New York,NY,Manhattan,10032,+12127953700,,,2,5,24.0,60,184,4322,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION,the-young-men-s-and-young-women-s-hebrew-association-new-york-1940,school,,1395 LEXINGTON AVENUE,New York,NY,Manhattan,10128,+12124155532,,www.92NY.ORG,2,5,24.0,60,171,1940,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,st-bartholomew-community-pre-school-foundation-new-york-4366,school,,109 EAST 50 STREET,New York,NY,Manhattan,10022,+12123780238,,www.stbarts.org/preschool,2,5,24.0,60,80,4366,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
MANHATTAN CHRISTIAN ACADEMY,manhattan-christian-academy-new-york-2799,school,,401 WEST 205 STREET,New York,NY,Manhattan,10034,+12125675521,,,3,5,36.0,60,0,DC32799,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTERS LLC,bright-horizons-children-s-centers-llc-new-york-0039,school,,910 9TH AVENUE,New York,NY,Manhattan,10019,+12123993919,,www.brighthorizons.com/columbuscircle,2,5,24.0,60,85,30039,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE HUDSON GUILD,the-hudson-guild-new-york-6089,school,,459 WEST 26 STREET,New York,NY,Manhattan,10001,+12127609830,,www.hudsonguild.org,2,5,24.0,60,144,6089,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
Lightbridge of Midtown Manhattan,lightbridge-of-midtown-manhattan-new-york-5422,school,,606 WEST   57 STREET,New York,NY,Manhattan,10019,+12122475300,,www.lightbridgeacademy.com,2,5,24.0,60,117,105422,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC",lutheran-social-services-of-metropolitan-new-york-inc-new-york-6441,school,,510-516 WEST 145TH STREET,New York,NY,Manhattan,10031,+16464490814,,www.lssny.org,2,5,24.0,60,204,26441,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
TEACHERS COLLEGE,teachers-college-new-york-6638,school,,525 WEST 120TH STREET BOX 98,New York,NY,Manhattan,10027,+12126783013,,www.tc.columbia.edu/ritagold/,2,5,24.0,60,28,6638,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
INTERNATIONAL ACADEMY OF NEW YORK,international-academy-of-new-york-new-york-5049,school,,4 EAST   90 STREET,New York,NY,Manhattan,10128,+12126410260,,,2,5,24.0,60,80,105049,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
METROKIDS CRADLE (SOUTH END) INC.,metrokids-cradle-south-end-inc-new-york-4666,school,,25 Market  Street,New York,NY,Manhattan,10002,+12125772710,,,2,5,24.0,60,231,104666,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
METROKIDS CRADLE (SOUTH END) INC.,metrokids-cradle-south-end-inc-new-york-4666,school,,25 Market  Street,New York,NY,Manhattan,10002,+12125772710,,,2,5,24.0,60,231,104666,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
METROKIDS CRADLE (SOUTH END) INC.,metrokids-cradle-south-end-inc-new-york-4666,school,,25 Market  Street,New York,NY,Manhattan,10002,+12125772710,,,2,5,24.0,60,231,104666,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
AVENUES NEW YORK,avenues-new-york-new-york-5665,school,,536 WEST   26 STREET,New York,NY,Manhattan,10001,+16466640925,,,3,5,36.0,60,0,DC35665,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
"UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK, INC.",university-settlement-society-of-new-york-inc-new-york-2110,school,,184 ELDRIDGE STREET,New York,NY,Manhattan,10002,+12126749120,,www.universitysettlement.org,2,5,24.0,60,160,2110,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK, INC.",university-settlement-society-of-new-york-inc-new-york-2110,school,,184 ELDRIDGE STREET,New York,NY,Manhattan,10002,+12126749120,,www.universitysettlement.org,2,5,24.0,60,160,2110,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS AT CITI 388 GREENWICH,bright-horizons-at-citi-388-greenwich-new-york-5474,daycare,,388 GREENWICH STREET,New York,NY,Manhattan,10013,+12128167700,,www.brighthorizons.com/citi388,0,2,,24,15,105474,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
