centername,legalname,building,street,borough,zipcode,phone,permitnumber,permitexp,status,agerange,maximumcapacity,dc_id,programtype,facilitytype,childcaretype,bin,url,datepermitted,actual,violationratepercent,violationavgratepercent,totaleducationalworkers,averagetotaleducationalworkers,publichealthhazardviolationrate,averagepublichealthhazardiolationrate,criticalviolationrate,avgcriticalviolationrate,inspectiondate,regulationsummary,violationstatus,inspectionsummaryresult,violationcategory,healthcodesubsection
"TUTOR TIME LEARNING CENTER, LLC",TUTOR TIME LEARNING CENTERS LLC,225,EAST 38TH STREET,MANHATTAN,10016,212-682-8080,7193,2023-11-13T00:00:00.000,Permitted,0 YEARS - 2 YEARS,44,DC2614,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1087340,tutortime.com,2004-06-28T00:00:00.000,N,0,17.4391,18,8.4034,0,4.9984,0,15.3835,2021-06-03T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"THE DAWNING VILLAGE, INC.","THE DAWNING VILLAGE, INC.",2090,1 AVENUE,MANHATTAN,10029,212-369-5313,6465,2023-12-05T00:00:00.000,Permitted,2 YEARS - 5 YEARS,105,DC1291,PRESCHOOL,GDC,Child Care - Pre School,1083954,dawningvillage.org,2005-02-07T00:00:00.000,N,0,21.905,12,11.9769,0,6.1285,0,18.9541,2022-09-22T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
THE YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION,THE YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION,1395,LEXINGTON AVENUE,MANHATTAN,10128,212-415-5532,1940,2024-06-13T00:00:00.000,Permitted,2 YEARS - 5 YEARS,171,DC2408,PRESCHOOL,GDC,Child Care - Pre School,1048310,www.92NY.ORG,2004-04-29T00:00:00.000,N,25,21.905,33,11.9769,0,6.1285,25,18.9541,2021-11-29T00:00:00.000,Commercial building regularly cleaned; kept clean and in good repair; kept free of overcrowding.,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Not Required,GENERAL,131.09(g)
Lightbridge of Midtown Manhattan,Mergen Inc.,606,WEST   57 STREET,MANHATTAN,10019,212-247-5300,105422,2023-07-02T00:00:00.000,Permitted,2 YEARS - 5 YEARS,117,DC37934,PRESCHOOL,GDC,Child Care - Pre School,1090190,www.lightbridgeacademy.com,2021-07-02T09:59:42.000,Y,0,21.905,7,11.9769,0,6.1285,0,18.9541,2022-02-24T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
STEPHEN WISE FREE SYNAGOGUE,STEPHEN WISE FREE SYNAGOGUE,30,WEST 68TH STREET,MANHATTAN,10023,212-877-4050,4899,2023-07-18T00:00:00.000,Permitted,0 YEARS - 2 YEARS,20,DC14261,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1028249,ecc.swfs.org,2005-02-02T00:00:00.000,N,0,17.4391,5,8.4034,0,4.9984,0,15.3835,2022-02-01T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
THE MEDICAL CENTER NURSERY SCHOOL,THE MEDICAL CENTER NURSERY SCHOOL,60,HAVEN AVENUE,MANHATTAN,10032,212-304-7040,3053,2023-04-27T00:00:00.000,Permitted,2 YEARS - 5 YEARS,60,DC3013,PRESCHOOL,GDC,Child Care - Pre School,1063423,www.mcns.org,1981-07-23T00:00:00.000,Y,16.6667,21.905,7,11.9769,0,6.1285,16.6667,18.9541,2023-02-03T00:00:00.000,"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff",CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,CRITICAL,47.37(b)(4)
THE CHILDREN'S AID SOCIETY,THE CHILDREN'S AID SOCIETY,1724-26,MADISON AVENUE,MANHATTAN,10029,212-831-0556,6226,2023-10-10T00:00:00.000,Permitted,2 YEARS - 5 YEARS,60,DC1268,PRESCHOOL,GDC,Child Care - Pre School,1080504,www.childrensaidsociety.org,2002-12-05T00:00:00.000,N,0,21.905,9,11.9769,0,6.1285,0,18.9541,2023-03-08T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected,,
KINDERCARE EDUCATION AT WORK LLC,KINDERCARE EDUCATION AT WORK LLC,311,Greenwich  Street,MANHATTAN,10013,212-962-1316,104382,2024-04-17T00:00:00.000,Permitted,0 YEARS - 2 YEARS,72,DC36350,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1075706,,2018-04-17T15:31:26.000,Y,14.2857,17.4391,11,8.4034,0,4.9984,14.2857,15.3835,2021-08-19T00:00:00.000,Child care service teaching staff acting as assistant teachers do Not meet age and educational requirements.,CORRECTED,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,GENERAL,47.13(f)
"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC","BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",258,WEST 26TH STREET,MANHATTAN,10001,212-366-4365,102097,2022-01-11T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,37,DC33082,PRESCHOOL,GDC,Child Care - Pre School,1088709,www.brighthorizons.com/chelsea,2016-01-11T00:00:00.000,Y,16.6667,21.905,12,11.9769,16.6667,6.1285,0,18.9541,2021-12-06T00:00:00.000,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.33(b)
BRIGHT HORIZONS AT WEST 53RD,Bright Horizons Children's Centers LLC,540,West 53 Street,MANHATTAN,10019,332-232-8005,105479,2023-08-24T00:00:00.000,Permitted,2 YEARS - 5 YEARS,51,DC38593,PRESCHOOL,GDC,Child Care - Pre School,1000000,,2021-08-24T14:37:31.000,Y,33.3333,21.905,6,11.9769,0,6.1285,33.3333,18.9541,2022-12-13T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
KIDS IN THE GAME LLC,Kids in the Game LLC,532,WEST  215 STREET,MANHATTAN,10034,212-634-7262,105666,2022-09-15T00:00:00.000,Expired-In Renewal,0 YEARS - 16 YEARS,0,DC41069,ALL AGE CAMP,Camp,Camp,1082063,www.kidsinthegame.com,2022-06-08T09:47:39.000,Y,100,26.8868,0,1,100,14.2558,0,21.8553,2022-07-12T00:00:00.000,Facility egress observed obstructed; Not protected from hazardous areas,CORRECTED,Initial Annual Inspection - Reinspection Not Required,PUBLIC HEALTH HAZARD,48.15(b)(6)
THE CHILDREN'S LEARNING CENTER AT HUNTER COLLEGE,THE CHILDREN'S LEARNING CENTER AT HUNTER COLLEGE,695,PARK AVENUE,MANHATTAN,10065,212-772-4066,5145,2023-11-03T00:00:00.000,Permitted,2 YEARS - 5 YEARS,40,DC2611,PRESCHOOL,GDC,Child Care - Pre School,1081419,www.hunter.cuny.edu/studentservices/clc,2003-10-24T00:00:00.000,N,0,21.905,8,11.9769,0,6.1285,0,18.9541,2021-09-27T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
LITTLE MISSIONARY'S DAY NURSERY,LITTLE MISSIONARY'S DAY NURSERY,93,ST MARK'S PLACE,MANHATTAN,10009,212-777-9774,4571,2025-01-17T00:00:00.000,Permitted,2 YEARS - 5 YEARS,84,DC2640,PRESCHOOL,GDC,Child Care - Pre School,1005891,lmdn.org,2004-11-08T00:00:00.000,N,0,21.905,11,11.9769,0,6.1285,0,18.9541,2022-02-18T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"THE RED BALLOON DAY CARE CENTER, INC.","THE RED BALLOON DAY CARE CENTER, INC.",560,RIVERSIDE DRIVE,MANHATTAN,10027,212-663-9006,0724,2024-07-02T00:00:00.000,Permitted,2 YEARS - 5 YEARS,45,DC2628,PRESCHOOL,GDC,Child Care - Pre School,1059891,www.redballoonlearningcenter.org,2004-02-26T00:00:00.000,N,0,21.905,7,11.9769,0,6.1285,0,18.9541,2023-01-05T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
KIDS IN THE GAME,KIDS IN THE GAME,44,EAST    2 STREET,MANHATTAN,10003,609-533-9456,105178,2022-09-15T00:00:00.000,Expired-In Renewal,0 YEARS - 16 YEARS,50,DC39506,ALL AGE CAMP,Camp,Camp,1066659,www.kidsinthegame.com,2020-07-15T09:15:44.000,Y,0,26.8868,0,1,0,14.2558,0,21.8553,2020-08-11T00:00:00.000,Refrigeration units provided with thermometers; thermometers calibrated to (+)(-) 2 degree F accuracy; properly placed in warmest spot of unit,CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,81.18(a)(3)
GODDARD RIVERSIDE COMMUNITY CENTER,GODDARD RIVERSIDE COMMUNITY CENTER,114,WEST 91 STREET,MANHATTAN,10024,212-873-6865,2061,2022-02-11T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,93,DC2155,PRESCHOOL,GDC,Child Care - Pre School,1077128,www.goddard.org,2003-05-12T00:00:00.000,N,25,21.905,7,11.9769,25,6.1285,0,18.9541,2021-01-08T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Reinspection Required,,
"INTERNATIONAL PRESCHOOLS, INC.","INTERNATIONAL PRESCHOOLS, INC.",345,EAST 86TH STREET,MANHATTAN,10028,212-371-8604,51678,2023-09-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,98,DC22822,PRESCHOOL,GDC,Child Care - Pre School,1050030,www.ipsnyc.org,2013-09-06T00:00:00.000,Y,0,21.905,16,11.9769,0,6.1285,0,18.9541,2021-09-27T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,109,EAST 50 STREET,MANHATTAN,10022,212-378-0238,4366,2024-09-14T00:00:00.000,Permitted,2 YEARS - 5 YEARS,80,DC2646,PRESCHOOL,GDC,Child Care - Pre School,1036450,www.stbarts.org/preschool,2004-05-17T00:00:00.000,N,0,21.905,15,11.9769,0,6.1285,0,18.9541,2021-09-30T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
CHILDREN'S ALL DAY SCHOOL,CHILDREN'S ALL DAY SCHOOL,109,EAST 60 STREET,MANHATTAN,10022,212-752-4566,4270,2024-10-13T00:00:00.000,Permitted,2 YEARS - 5 YEARS,64,DC14295,PRESCHOOL,GDC,Child Care - Pre School,1041912,www.childrensallday.org,2004-04-15T00:00:00.000,N,20,21.905,14,11.9769,0,6.1285,20,18.9541,2023-01-04T00:00:00.000,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.41(j)
UNIVERSITY PLAZA NURSERY SCHOOL,UNIVERSITY PLAZA NURSERY SCHOOL,110,BLEECKER STREET,MANHATTAN,10012,212-677-3916,6016,2025-04-11T00:00:00.000,Permitted,2 YEARS - 5 YEARS,69,DC2988,PRESCHOOL,GDC,Child Care - Pre School,1083218,www.universityplazanursery.org,2005-03-07T00:00:00.000,N,0,21.905,6,11.9769,0,6.1285,0,18.9541,2023-02-08T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
THE GILLEN BREWER SCHOOL,THE GILLEN BREWER SCHOOL,410,EAST 92 STREET,MANHATTAN,10128,212-831-3667,,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,24,DC11886,PRESCHOOL,SBCC,School Based Child Care,1081307,,,,50,45.1817,10,8.0094,0,23.3017,50,35.2291,2022-10-20T00:00:00.000,Child Medical record are DOHMH property when health care provider provided by DOHMH,OPEN,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,GENERAL,43.17(f)
CORLEARS SCHOOL,CORLEARS SCHOOL,324,WEST 15 STREET,MANHATTAN,10011,212-741-2800,,2117-05-04T00:00:00.000,Active,3 YEARS - 5 YEARS,85,DC2599,PRESCHOOL,SBCC,School Based Child Care,1080380,www.corlearsschool.org,,,0,45.1817,14,8.0094,0,23.3017,0,35.2291,2021-11-23T00:00:00.000,School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.,OPEN,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,GENERAL,43.11(b)
"SHUGAH BAYBEES CDC, INC","SHUGAH BAYBEES CDC, INC",129 - 135,West  138 Street,MANHATTAN,10030,917-822-3019,105111,2023-12-12T00:00:00.000,Permitted,0 YEARS - 2 YEARS,30,DC35631,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1060023,Shugahbaybeesnyc.com,2019-12-12T12:12:51.000,Y,20,17.4391,8,8.4034,20,4.9984,0,15.3835,2023-01-09T00:00:00.000,At time of inspection it was observed in the child care service that a bathroom/closet or other enclosed space has a locking mechanism solely operable from inside the space.,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Required; Violations corrected at time of inspection,CRITICAL,47.41(i)
"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC","BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",258,WEST 26TH STREET,MANHATTAN,10001,212-366-4365,102097,2022-01-11T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,37,DC33082,PRESCHOOL,GDC,Child Care - Pre School,1088709,www.brighthorizons.com/chelsea,2016-01-11T00:00:00.000,Y,16.6667,21.905,12,11.9769,16.6667,6.1285,0,18.9541,2021-04-05T00:00:00.000,At time of inspection hallways and other means of egress were observed obstructed and impassable.,CORRECTED,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,PUBLIC HEALTH HAZARD,47.41(f)
BRIGHT HORIZONS AT EAST VILLAGE,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,526,E 14TH ST,MANHATTAN,10009,332-255-8506,105145,2024-02-18T00:00:00.000,Permitted,0 YEARS - 2 YEARS,54,DC38870,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1090264,www.brighthorizons.com,2020-02-18T09:20:48.000,Y,14.2857,17.4391,7,8.4034,0,4.9984,14.2857,15.3835,2022-10-20T00:00:00.000,Teaching staff qualifications for infant-toddler child care services Not met; teacher is Not at least 21 years of age,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Required,GENERAL,47.15(b)
THE FAMILY ANNEX INC.,THE FAMILY ANNEX INC.,560,WEST 113 STREET,MANHATTAN,10025,212-749-3271,4765,2023-05-11T00:00:00.000,Permitted,0 YEARS - 2 YEARS,11,DC14302,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1057013,www.familyannex.org,2004-07-31T00:00:00.000,N,0,17.4391,11,8.4034,0,4.9984,0,15.3835,2020-09-14T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
