name,address,city,state,zip_code,county,license_number,phone,email,provider_type_raw,type,ages_served_raw,age_min_months,age_max_months,age_range_min,age_range_max,capacity,slug,source,source_url,source_as_of_date,is_verified_by_gov,is_profile_public,lat,lng,geocode_status
The Center,119 West Bayview Avenue,Pleasantville,NJ,08232,Atlantic,CCC118268,+16093807659,100futureleaders@gmail.com,Child Care Center,daycare,6 - 13 years,72,156,72,156,59.0,the-center-pleasantville-nj-e8f73a,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Cumberland Cape Atlantic YMCA @ Jordan Road School,129 Jordan Road,Somers Point,NJ,08244,Atlantic,CCC118132,+18566910030,childcare@ccaymca.org,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,80.0,cumberland-cape-atlantic-ymca-jordan-road-school-somers-point-nj-6ea432,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Cumberland Cape Atlantic YMCA @ Dawes Avenue School,22 West Dawes Avenue,Somers Point,NJ,08244,Atlantic,CCC118131,+18566910030,childcare@ccaymca.org,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,100.0,cumberland-cape-atlantic-ymca-dawes-avenue-school-somers-point-nj-176819,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
"The Purple Crayon Early Learning Center, LLC",6048 Delilah Road,Egg Harbor Township,NJ,08234,Atlantic,CCC117947,+16093807357,monica@purplecrayonec.com,Child Care Center,daycare,0 - 6 years,0,72,0,72,61.0,the-purple-crayon-early-learning-center-llc-egg-harbor-township-nj-ce9e6e,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
TreeTops Learning Center LLC,4805 Nawakwa Boulevard,Mays Landing,NJ,08330,Atlantic,CCC117900,+16096259487,treetopslearningcenter@gmail.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,30.0,treetops-learning-center-llc-mays-landing-nj-cdd71a,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Bizzy Bee'z Creative Learning Center,914 New Road,Northfield,NJ,08225,Atlantic,CCC117878,+16095686012,bizzybeezcreativelearning@gmail.com,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,30.0,bizzy-bee-z-creative-learning-center-northfield-nj-44d24f,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Kids' Choice Academy LLC,408 East Jimmie Leeds Road,Galloway,NJ,08205,Atlantic,CCC117766,+16096524181,kidschoiceacademy@verizon.net,Child Care Center,daycare,0 - 13 years,0,156,0,156,101.0,kids-choice-academy-llc-galloway-nj-f5749c,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Tiny Hands Adams Ave LLC,723 West Adams Avenue,Pleasantville,NJ,08232,Atlantic,CCC114093,+16098924741,tonytaylor36@gmail.com,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,51.0,tiny-hands-adams-ave-llc-pleasantville-nj-0bb03f,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Big PAL's Before & After Care,2590 Ridge Avenue,Egg Harbor Township,NJ,08234,Atlantic,CCC113961,+16096458413,ehtpal@comcast.net,Child Care Center,daycare,6 - 13 years,72,156,72,156,45.0,big-pal-s-before-after-care-egg-harbor-township-nj-ecef52,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Boys & Girls Club of Atlantic City,227 N. Sovereign Ave,Atlantic City,NJ,08401,Atlantic,181200208,+16093472697,ctorres@acbgc.org,Child Care Center,daycare,6 - 13 years,72,156,72,156,75.0,boys-girls-club-of-atlantic-city-atlantic-city-nj-63e69f,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Partners in Learning Private Preschool at Northfield,408 New Road,Northfield,NJ,08225,Atlantic,180800119,+16093778337,dinardok@pilnj.org,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,25.0,partners-in-learning-private-preschool-at-northfield-northfield-nj-8cb016,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Pomona Preschool,400 South Genoa Avenue,Pomona,NJ,08240,Atlantic,180500085,+16097481250,lovelandt@gtps.k12.nj.us,Child Care Center,daycare,2 1/2 - 6 years,30,72,30,72,64.0,pomona-preschool-pomona-nj-3f8d9c,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
All God's Children Daycare-Preschool,104 South Auburn Street,Landisville,NJ,08326,Atlantic,180300026,+18565006864,allgodschildren1234@gmail.com,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,30.0,all-god-s-children-daycare-preschool-landisville-nj-82e015,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Miller School,2 Aldler Avenue,Egg Harbor Township,NJ,08234,Atlantic,180200060,+16096468441,enrichment@eht.k12.nj.us,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,300.0,miller-school-egg-harbor-township-nj-b76290,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Swift Drive Complex,11 Swift Drive,Egg Harbor Township,NJ,08234,Atlantic,180200057,+16096468441,enrichment@eht.k12.nj.us,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,220.0,swift-drive-complex-egg-harbor-township-nj-219ce2,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Davenport Complex,2499 Spruce Avenue,Egg Harbor Township,NJ,08234,Atlantic,180200050,+16096468441,enrichment@eht.k12.nj.us,Child Care Center,daycare,6 - 13 years,72,156,72,156,100.0,davenport-complex-egg-harbor-township-nj-b9b4d6,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Tiny Tots Academy,6701 Black Horse Pike,Egg Harbor Township,NJ,08234,Atlantic,180100172,+16093775625,tinytotsacademy0218@gmail.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,146.0,tiny-tots-academy-egg-harbor-township-nj-8421e0,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Smithville Elementary School Child Care Program,37 South Old Port Road,Galloway,NJ,08205,Atlantic,180100104,+16097482287,lovelandt@gtps.k12.nj.us,Child Care Center,daycare,6 - 13 years,72,156,72,156,50.0,smithville-elementary-school-child-care-program-galloway-nj-c89fe2,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Roland Rogers Elementary School Child Care Program,105 South Reeds Road,Galloway,NJ,08205,Atlantic,180100103,+16097482295,lovelandt@gtps.k12.nj.us,Child Care Center,daycare,6 - 13 years,72,156,72,156,50.0,roland-rogers-elementary-school-child-care-program-galloway-nj-9c94e5,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Reeds Road Elementary School Child Care Program,103 South Reeds Road,Galloway,NJ,08205,Atlantic,180100102,+16097481250,lovelandt@gtps.k12.nj.us,Child Care Center,daycare,6 - 13 years,72,156,72,156,50.0,reeds-road-elementary-school-child-care-program-galloway-nj-aab00e,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Arthur Rann Elementary School Child Care Program,515 South Eighth Avenue,Galloway,NJ,08205,Atlantic,180100101,+16097481250,lovelandt@gtps.k12.nj.us,Child Care Center,daycare,6 - 13 years,72,156,72,156,50.0,arthur-rann-elementary-school-child-care-program-galloway-nj-ace9b9,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Brigantine Board Of Education,301 East Evans Boulevard,Brigantine,NJ,08203,Atlantic,171200233,+16092663632,klipshutz@brigantineschools.org,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,150.0,brigantine-board-of-education-brigantine-nj-bfb22b,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
After School Child Care PALS,800 Irelan Avenue,Absecon,NJ,08201,Atlantic,171200170,+16096415375,stars@abseconschools.org,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,180.0,after-school-child-care-pals-absecon-nj-695929,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Folsom SACC Program,1357 Mays Landing Road,Folsom,NJ,08037,Atlantic,171200169,+16095618666,mhetzel@folsomschool.org,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,88.0,folsom-sacc-program-folsom-nj-dabaf6,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Hamilton Twp Schools Kids Corner Shaner Elementary School,5801 Third Street,Mays Landing,NJ,08330,Atlantic,171200137,+16094766311,melderc@hamiltonschools.org,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,100.0,hamilton-twp-schools-kids-corner-shaner-elementary-school-mays-landing-nj-bda6aa,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Hamilton Twp Schools Kids Corner Hess Education Complex,700 Babcock Road,Mays Landing,NJ,08330,Atlantic,171200136,+16094766311,melderc@hamiltonschools.org,Child Care Center,daycare,6 - 13 years,72,156,72,156,150.0,hamilton-twp-schools-kids-corner-hess-education-complex-mays-landing-nj-e444dc,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Atlantic Christian School,391 Zion Road,Egg Harbor Township,NJ,08234,Atlantic,170900166,+16096531199,teresajbird@acseht.org,Child Care Center,daycare,0 - 13 years,0,156,0,156,180.0,atlantic-christian-school-egg-harbor-township-nj-77ee06,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Cumberland Cape Atlantic YMCA at Spragg School,601 Buffalo Avenue,Egg Harbor City,NJ,08215,Atlantic,170800156,+18566910030,childcare@ccaymca.org,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,55.0,cumberland-cape-atlantic-ymca-at-spragg-school-egg-harbor-city-nj-9f4855,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Cumberland Cape Atlantic YMCA SACC at Cleary Elementary,1501 Central Avenue,Minotola,NJ,08341,Atlantic,160700115,+18566910030,tbooth@ccaymca.org,Child Care Center,daycare,6 - 13 years,72,156,72,156,30.0,cumberland-cape-atlantic-ymca-sacc-at-cleary-elementary-minotola-nj-c7a560,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Cumberland Cape Atlantic YMCA at Milanesi Elementary,880 Harding Highway,Buena Vista,NJ,08310,Atlantic,160700114,+18566910030,tbooth@ccaymca.org,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,60.0,cumberland-cape-atlantic-ymca-at-milanesi-elementary-buena-vista-nj-ff0ea2,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Alpha & Omega Childcare,"6690 Blackhorse Pike #5, 6, 7, 8",Egg Harbor Township,NJ,08234,Atlantic,160600156,+16094847601,lilmino2005@aim.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,84.0,alpha-omega-childcare-egg-harbor-township-nj-9f986e,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Pleasantville Head Start II,49 South Main Street,Pleasantville,NJ,08232,Atlantic,160600029,+16092416663,zansari@gatewaycap.org,Child Care Center,daycare,0 - 6 years,0,72,0,72,60.0,pleasantville-head-start-ii-pleasantville-nj-497d29,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Gateway Head Start Early Education Center,1433 Bacharach Boulevard,Atlantic City,NJ,08401,Atlantic,160600028,+16094874544,aazad@gatewaycap.org,Child Care Center,daycare,0 - 13 years,0,156,0,156,292.0,gateway-head-start-early-education-center-atlantic-city-nj-0251ce,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
ACCC Gateway Early Learning Center,5046 Black Horse Pike,Mays Landing,NJ,08330,Atlantic,160500022,+16098370021,oclark@gatewaycap.org,Child Care Center,daycare,0 - 6 years,0,72,0,72,98.0,accc-gateway-early-learning-center-mays-landing-nj-b158a9,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
AtlantiCare Kids,225 W. Washington Avenue,Pleasantville,NJ,08232,Atlantic,160200006,+16096419309,rlerner@atlanticare.org,Child Care Center,daycare,6 - 13 years,72,156,72,156,60.0,atlanticare-kids-pleasantville-nj-9f774c,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
AtlantiCare Kids,701 South Main Street,Pleasantville,NJ,08232,Atlantic,160200005,+16096419309,rlerner@atlanticare.org,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,60.0,atlanticare-kids-pleasantville-nj-9f774c,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Buena Vista Head Start,661 Jackson Road,Newtonville,NJ,08346,Atlantic,151000221,+18563926933,,Child Care Center,daycare,2 1/2 - 6 years,30,72,30,72,30.0,buena-vista-head-start-newtonville-nj-f5a35d,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
"Tiny Hands Learning Center Pleasantville, LLC",101 West Delilah Road,Pleasantville,NJ,08232,Atlantic,150900129,+16093804841,kiratinyh@gmail.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,53.0,tiny-hands-learning-center-pleasantville-llc-pleasantville-nj-dbc81b,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
New Millennium Childcare and Language Development Center Inc.,2115 New Road,Linwood,NJ,08221,Atlantic,150800047,+16099042488,jdenise1960@hotmail.com,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,27.0,new-millennium-childcare-and-language-development-center-inc-linwood-nj-aa23f3,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Galloway Township Head Start,"28 South New York Road, Building C",Smithville,NJ,08205,Atlantic,141000238,+16093802544,dreed@gatewaycap.org,Child Care Center,daycare,2 1/2 - 6 years,30,72,30,72,80.0,galloway-township-head-start-smithville-nj-7ab0f0,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Boys & Girls Club of Atlantic City,317 N. Pennsylvania Avenue & 1010 Drexel Avenue,Atlantic City,NJ,08401,Atlantic,140700165,+16093472697,blittle@acbgc.org,Child Care Center,daycare,6 - 13 years,72,156,72,156,194.0,boys-girls-club-of-atlantic-city-atlantic-city-nj-63e69f,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Dynamic Learning Academy,45 Route 206,Hammonton,NJ,08037,Atlantic,140500007,+16099928118,dynamiclearningac@gmail.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,76.0,dynamic-learning-academy-hammonton-nj-866e71,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Mrs. Barnes Playhouse Daycare II,600 East Moss Mill Road,Galloway,NJ,08205,Atlantic,131200098,+16094152931,mrsbarnesplayhouse@gmail.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,92.0,mrs-barnes-playhouse-daycare-ii-galloway-nj-06e2f4,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
"Rachaels Kids Care, LLC",319 East Jimmie Leeds Road,Galloway,NJ,08205,Atlantic,130900136,+16092777605,rachaelskids@aol.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,60.0,rachaels-kids-care-llc-galloway-nj-2c8aaf,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
"The Purple Crayon Enrichment Center, LLC","303 Central Avenue, Suite 5",Egg Harbor Township,NJ,08234,Atlantic,130600262,+16093658877,monica@purplecrayonec.com,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,47.0,the-purple-crayon-enrichment-center-llc-egg-harbor-township-nj-1b31ed,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Kids' Choice Academy,6807 Washington Avenue,Egg Harbor Township,NJ,08234,Atlantic,121000210,+16092727666,kidschoiceacademy@verizon.net,Child Care Center,daycare,0 - 13 years,0,156,0,156,57.0,kids-choice-academy-egg-harbor-township-nj-00e904,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Cumberland Cape Atlantic YMCA - Mullica Township SACC,500 Elwood Road,Elwood,NJ,08217,Atlantic,120800001,+16095613868,childcare@ccaymca.org,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,60.0,cumberland-cape-atlantic-ymca-mullica-township-sacc-elwood-nj-230fe7,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
"Mrs. Barnes Play House Day Care, LLC",202-208 New Jersey Avenue,Absecon,NJ,08201,Atlantic,120600064,+16093778417,mrsbarnesplayhouse@gmail.com,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,39.0,mrs-barnes-play-house-day-care-llc-absecon-nj-13b361,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Son Catchers Learning Center,519 Shore Road,Somers Point,NJ,08244,Atlantic,111200096,+16093658678,kevin.mchugh@soncatcherslearningcenter.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,128.0,son-catchers-learning-center-somers-point-nj-095cb3,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Playgroups Plus,6601 Ventnor Avenue Suite 5,Ventnor,NJ,08406,Atlantic,110300141,+16098234644,playgroupsplus@aol.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,44.0,playgroups-plus-ventnor-nj-64a825,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Kidz Campus,682 White Horse Pike,Absecon,NJ,08201,Atlantic,100700103,+16093850145,fun@kidz-campus.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,72.0,kidz-campus-absecon-nj-5c5f09,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Ventnor Montessori School,21 Troy Avenue,Ventnor,NJ,08406,Atlantic,091100098,+16098222300,cherylemmerman@aol.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,28.0,ventnor-montessori-school-ventnor-nj-46f974,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Beginners First Academy,1201 Boulevard Route 50,Weymouth,NJ,08330,Atlantic,091100043,+16098292292,eslotterbfa@gmail.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,78.0,beginners-first-academy-weymouth-nj-f55423,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Tomorrows Leaders Childcare/Learning Center,303 New Jersey Avenue,Absecon,NJ,08201,Atlantic,091000147,+16096771877,tomorrowsleaders@ymail.com,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,30.0,tomorrows-leaders-childcare-learning-center-absecon-nj-4afe67,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Solid Rock Community Kids Care,1140 Ocean Heights Avenue,Egg Harbor Township,NJ,08234,Atlantic,090200330,+16095685209,klk814@aol.com,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,65.0,solid-rock-community-kids-care-egg-harbor-township-nj-59c57b,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Kingdom Academy II,253 North New Road,Pleasantville,NJ,08232,Atlantic,081200082,+16094849430,holleyg3@gmail.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,52.0,kingdom-academy-ii-pleasantville-nj-cd2d2a,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
