county,license_id,provider_type,provider_name,address,city,zip,phone,email,ages_served,capacity
Atlantic,150800047,Child Care Center,New Millennium Childcare and Language Development Center Inc.,2115 New Road,Linwood,08221,(609) 904-2488,jdenise1960@hotmail.com,2 1/2 - 13 years,27.0
Atlantic,141000238,Child Care Center,Galloway Township Head Start,"28 South New York Road, Building C",Smithville,08205,(609) 380-2544,dreed@gatewaycap.org,2 1/2 - 6 years,80.0
Atlantic,140700165,Child Care Center,Boys & Girls Club of Atlantic City,317 N. Pennsylvania Avenue & 1010 Drexel Avenue,Atlantic City,08401,(609) 347-2697,blittle@acbgc.org,6 - 13 years,194.0
Atlantic,140500007,Child Care Center,Dynamic Learning Academy,45 Route 206,Hammonton,08037,(609) 992-8118,dynamiclearningac@gmail.com,0 - 13 years,76.0
Atlantic,131200098,Child Care Center,Mrs. Barnes Playhouse Daycare II,600 East Moss Mill Road,Galloway,08205,(609) 415-2931,mrsbarnesplayhouse@gmail.com,0 - 13 years,92.0
Atlantic,130900136,Child Care Center,"Rachaels Kids Care, LLC",319 East Jimmie Leeds Road,Galloway,08205,(609) 277-7605,rachaelskids@aol.com,0 - 13 years,60.0
Atlantic,130600262,Child Care Center,"The Purple Crayon Enrichment Center, LLC","303 Central Avenue, Suite 5",Egg Harbor Township,08234,(609) 365-8877,monica@purplecrayonec.com,2 1/2 - 13 years,47.0
Atlantic,121000210,Child Care Center,Kids' Choice Academy,6807 Washington Avenue,Egg Harbor Township,08234,(609) 272-7666,Kidschoiceacademy@verizon.net,0 - 13 years,57.0
Atlantic,120800001,Child Care Center,Cumberland Cape Atlantic YMCA - Mullica Township SACC,500 Elwood Road,Elwood,08217,(609) 561-3868,childcare@ccaymca.org,2 1/2 - 13 years,60.0
Atlantic,120600064,Child Care Center,"Mrs. Barnes Play House Day Care, LLC",202-208  New Jersey Avenue,Absecon,08201,(609) 377-8417,mrsbarnesplayhouse@gmail.com,2 1/2 - 13 years,39.0
Atlantic,111200096,Child Care Center,Son Catchers Learning Center,519 Shore Road,Somers Point,08244,(609) 365-8678,kevin.mchugh@soncatcherslearningcenter.com,0 - 13 years,128.0
Atlantic,110300141,Child Care Center,Playgroups Plus,6601 Ventnor Avenue Suite 5,Ventnor,08406,(609) 823-4644,Playgroupsplus@aol.com,0 - 13 years,44.0
Atlantic,100700103,Child Care Center,Kidz Campus,682 White Horse Pike,Absecon,08201,(609) 385-0145,Fun@Kidz-Campus.com,0 - 13 years,72.0
Atlantic,091100098,Child Care Center,Ventnor Montessori School,21 Troy Avenue,Ventnor,08406,(609) 822-2300,cherylemmerman@aol.com,0 - 13 years,28.0
Atlantic,091100043,Child Care Center,Beginners First Academy,1201 Boulevard Route 50,Weymouth,08330,(609) 829-2292,eslotterbfa@gmail.com,0 - 13 years,78.0
Atlantic,091000147,Child Care Center,Tomorrows Leaders Childcare/Learning Center,303 New Jersey Avenue,Absecon,08201,(609) 677-1877,Tomorrowsleaders@ymail.com,2 1/2 - 13 years,30.0
Atlantic,090200330,Child Care Center,Solid Rock Community Kids Care,1140 Ocean Heights Avenue,Egg Harbor Township,08234,(609) 568-5209,klk814@aol.com,2 1/2 - 13 years,65.0
Atlantic,081200082,Child Care Center,Kingdom Academy II,253 North New Road,Pleasantville,08232,(609) 484-9430,Holleyg3@gmail.com,0 - 13 years,52.0
Atlantic,080100174,Child Care Center,AtlantiCare Kids,810 South Main Street,Pleasantville,08232,(609) 677-6973,ronni.lerner@atlanticare.org,2 1/2 - 13 years,60.0
Atlantic,01TUT0001,Child Care Center,Children Academy,213 East Jimmie Leeds Road,Galloway,08205,(609) 404-4700,director@childrenacademynj.com,0 - 13 years,176.0
Atlantic,01TRI0001,Child Care Center,Trinity Learning Center,7004 Ridge Avenue,Egg Harbor Township,08234,(609) 653-9001,abaldwin@trinitylearningcenter.org,0 - 13 years,180.0
Atlantic,01TOD0001,Child Care Center,Toddler Town Infant Nursery & Preschool,425 South Egg Harbor Road,Hammonton,08037,(609) 561-7300,kprivitera@comcast.net,0 - 6 years,55.0
Atlantic,01STA0001,Child Care Center,Standing Tall,182A South New York Road,Galloway,08205,(609) 652-0498,standingtalldaycare@hotmail.com,0 - 13 years,90.0
Atlantic,01SPR0001,Child Care Center,Spruce Head Start Center,3048-3050 Spruce Avenue,Egg Harbor Township,08234,(856) 497-6692,oclark@gatewaycap.org,2 1/2 - 6 years,88.0
Atlantic,01SAL0001,Child Care Center,The Salvation Army,22 S Texas Avenue,Atlantic City,08401,(609) 344-0660,george.mayes@use.salvationarmy.org,6 - 13 years,80.0
Atlantic,01ROB0001,Child Care Center,Robinson Small Learning Center,715 Baltic Ave,Atlantic City,08401,(609) 344-2737,rslcca@aol.com,0 - 13 years,66.0
Atlantic,01PEA0001,Child Care Center,Peace Lutheran Christian Preschool,328 East Great Creek Road,Galloway,08205,(609) 748-0094,peacepre@gmail.com,2 1/2 - 6 years,30.0
Atlantic,01ONE0001,Child Care Center,"One Love Day Care and Preschool, LLC",868 Harding Highway,Buena Vista,08310,(856) 697-0485,onelovedaycare@gmail.com,0 - 13 years,28.0
Atlantic,01MIL0001,Child Care Center,Milton and Betty Katz Jewish Comm.Ctr.Childcare & Preschool,501 North Jerome Avenue,Margate,08402,(609) 822-1167,mrosenblatt@jccatlantic.org,0 - 13 years,160.0
Atlantic,01MAR0001,Child Care Center,Margate Community Church Nursery School,8900 Ventnor Avenue,Margate,08402,(609) 487-9460,facefam@comcast.net,2 1/2 - 6 years,50.0
Atlantic,01LIT0009,Child Care Center,Reggio's Treehouse at Little Flyers Academy,300 Faa William J. Hughes Tech Ctr,Atlantic City,08405,(609) 485-5429,phyllis.ctr.reinhard@faa.gov,0 - 6 years,56.0
Atlantic,01LIT0008,Child Care Center,Little Lambs Christian Preschool,1202 Crocus Street,Mays Landing,08330,(609) 965-8070,renyfishman@yahoo.com,0 - 13 years,24.0
Atlantic,01LIN0003,Child Care Center,Linwood Head Start Center,2115 New Road,Linwood,08221,(856) 453-0803,ppuerta@gatewaycap.org,0 - 6 years,58.0
Atlantic,01KRE0001,Child Care Center,Kreative Kids,1317 Route 50,Mays Landing,08330,(609) 909-1751,njkreativekids@gmail.com,0 - 13 years,49.0
Atlantic,01KIN0001,Child Care Center,The Kingdom Academy,1033 North Main Street,Pleasantville,08232,(609) 569-9905,Holleyg3@gmail.com,2 1/2 - 13 years,27.0
Atlantic,01KID0011,Child Care Center,"Kiddie Kastle Academy, LLC",515 Tilton Road,Northfield,08225,(609) 272-8000,heatherjones0426@gmail.com,0 - 13 years,69.0
"Provider 
County",License Number,Provider Type,Provider Name,Provider Address 1,Provider City,"Provider Zip 
Code","Provider Phone 
Number",Provider Email Address,Ages Served,
Atlantic,01KID0010,Child Care Center,"Kids' Choice Academy, L.L.C.",6652 Black Horse Pike,Egg Harbor Township,08234,(609) 204-0699,Kidschoiceacademy@verizon.net,0 - 13 years,93.0
Atlantic,01KID0009,Child Care Center,"New Millennium Childcare Center II, LLC",3156 Fire Road,Egg Harbor Township,08234,(609) 867-9177,Jdenise1960@hotmail.com,0 - 13 years,43.0
Atlantic,01KID0005,Child Care Center,KidAcademy,101 Morton Ave,Absecon,08201,(609) 646-3435,debras@kidacademy.com,0 - 13 years,49.0
Atlantic,01KID0003,Child Care Center,Kids Place,546 Cincinnati Avenue,Egg Harbor City,08215,(609) 965-5044,kidzplas@verizon.net,2 1/2 - 13 years,24.0
Atlantic,01HAM0002,Child Care Center,AtlantiCare After-School Program,601 North 4th Street,Hammonton,08037,(609) 567-2900,abh.afterschool@gmail.com,6 - 13 years,225.0
Atlantic,01HAM0001,Child Care Center,Hammonton Head Start Center,150 Sports Drive,Hammonton,08037,(609) 385-9474,juribe@gatewaycap.org,0 - 6 years,28.0
Atlantic,01ENG0001,Child Care Center,English Creek Academy,600 Scarborough Drive,Egg Harbor Township,08234,(609) 645-9800,EnglishCreekAcademy@comcast.net,0 - 13 years,246.0
Atlantic,01DIS0001,Child Care Center,Tiny Hands Learning Center,6760 Washington Avenue,Egg Harbor Township,08234,(609) 892-4741,tinyhandslc609@gmail.com,0 - 13 years,81.0
Atlantic,01DAV0001,Child Care Center,"Davis-Holland Learning Center, Inc.",1445 Cantillon Boulevard,Mays Landing,08330,(609) 909-9979,davishollandlearningcenter@gmail.com,0 - 13 years,30.0
Atlantic,01CRE0001,Child Care Center,Creative Learning Pre-School,515 West Hamilton Avenue,Linwood,08221,(609) 927-4715,Ellieclp@aol.com,0 - 13 years,160.0
Atlantic,01CON0001,Child Care Center,Congregation Beth Israel Nursery School,2501 Shore Road,Northfield,08225,(609) 641-3600,cookie.feldman@cbinorthfield.org,2 1/2 - 6 years,75.0
Atlantic,01ATL0028,Child Care Center,AtlantiCare Kids,1311 South Main Street,Pleasantville,08232,(609) 641-9309,Ronni.Lerner@atlanticare.org,2 1/2 - 13 years,60.0
Atlantic,01ATL0027,Child Care Center,Project TEACH - Atlantic,2562 Tilton Road,Egg Harbor Township,08234,(609) 573-3730,soneia.frazier@dcf.nj.gov,0 - 6 years,30.0
Atlantic,01ATL0021,Child Care Center,AtlantiCare Kids,100 West Leeds Avenue,Pleasantville,08232,(609) 641-9309,ronni.lerner@atlanticare.org,2 1/2 - 13 years,89.0
Atlantic,01ATL0014,Child Care Center,AtlantiCare Kids,201 North Main Street,Pleasantville,08232,(609) 677-5486,Ronni.lerner@atlanticare.org,2 1/2 - 13 years,75.0
Atlantic,01ATL0003,Child Care Center,Atlantic City Day Nursery,101 North Boston Avenue,Atlantic City,08401,(609) 345-3569,acdn@comcast.net,0 - 6 years,87.0
Atlantic,01ALL0005,Child Care Center,Tiny Hands Absecon LLC,515 Mill Road,Absecon,08201,(609) 380-2452,tonytaylor36@gmail.com,0 - 13 years,75.0
Bergen,CCC129216,Child Care Center,Boys & Girls Clubs of Lower Bergen County - WAZE Program @ WHS,234 Main Avenue,Wallington,07057,(973) 473-7410,MMoro@bgclbergen.org,6 - 13 years,60.0
Bergen,CCC129009,Child Care Center,AlphaBEST at Luther Lee Emerson School,15 Columbus Road,Demarest,07627,(401) 636-0140,kshah-pillai@alphabest.org,2 1/2 - 13 years,65.0
Bergen,CCC129008,Child Care Center,AlphaBEST at County Road School,130 County Road,Demarest,07627,(862) 361-8188,ianderson@alphabest.org,6 - 13 years,65.0
Bergen,CCC128729,Child Care Center,BGCG #9,62 Alpine Street,Garfield,07026,(973) 478-7662,abanch@bgcgarfield.org,6 - 13 years,113.0
Bergen,CCC128728,Child Care Center,BGCG #7,225 Lincoln Place,Garfield,07026,(973) 478-7662,ycanepa@bgcgarfield.org,6 - 13 years,75.0
Bergen,CCC128726,Child Care Center,BGCG #6,111 Palisade Avenue,Garfield,07026,(973) 478-7662,ycanepa@bgcgarfield.org,6 - 13 years,75.0
Bergen,CCC128396,Child Care Center,Garfield YMCA ECLC Building,241 Ray St,Garfield,07026,(973) 772-7450,tarac@garfieldymca.com,2 1/2 - 6 years,164.0
Bergen,CCC128320,Child Care Center,True Light Academy LLC,18 Essex Road,Paramus,07652,(201) 880-8761,EDUCHURCH9191@GMAIL.COM,0 - 13 years,73.0
Bergen,CCC128137,Child Care Center,Garfield YMCA - GPPA #1,464 Outwater Lane,Garfield,07026,(973) 772-7450,tarac@garfieldymca.com,2 1/2 - 6 years,15.0
Bergen,CCC127659,Child Care Center,Kid's Kingdom LLC,353 East Clinton Avenue,Tenafly,07670,(845) 721-5346,stacieann@optonline.net,2 1/2 - 13 years,54.0
Bergen,CCC127492,Child Care Center,Think Learn Create Academy LLC,36A East Midland Ave,Paramus,07652,(201) 916-2904,paramus@thinklearncreate.org,0 - 13 years,55.0
Bergen,CCC127411,Child Care Center,Everbrook Academy,22 Philips Parkway,Montvale,07645,(551) 788-0611,4846@everbrookacademy.com,0 - 13 years,180.0
Bergen,CCC127248,Child Care Center,Young World Day School Inc,585 Wyckoff Avenue,Mahwah,07430,(201) 327-3888,ywds@optonline.net,2 1/2 - 6 years,139.0
Bergen,CCC126821,Child Care Center,AlphaBEST at Washington Saddle Brook,"225 Market St,",Saddle Brook,07663,(973) 739-4511,rknapp@alphabest.org,2 1/2 - 13 years,133.0
Bergen,CCC123654,Child Care Center,Little Prints Daycare IV,361 Passaic Avenue,Lodi,07644,(973) 272-2900,littleprintsnj4@gmail.com,0 - 13 years,60.0
Bergen,CCC123421,Child Care Center,Lightbridge Academy of Montvale,295 West Grand Avenue,Montvale,07645,(201) 297-9990,montvale_nj@lightbridgeacademy.com,0 - 13 years,120.0
Bergen,CCC123338,Child Care Center,Nell's Nursery,83 Keasler Avenue,Lodi,07644,(973) 861-3202,nellsnurserynj@gmail.com,2 1/2 - 13 years,22.0
Bergen,CCC122556,Child Care Center,Cradles to Crayons III,35 Jefferson Avenue,Emerson,07630,(201) 785-6661,laura@c2childcare.com,2 1/2 - 13 years,120.0
Bergen,CCC122423,Child Care Center,Teaneck Community Education Center Benjamin Franklin School,1315 Taft Road,Teaneck,07666,(201) 957-3459,cdrootin@teaneckschools.org,6 - 13 years,100.0
Bergen,CCC122275,Child Care Center,Goddard School of Lyndhurst,430 Lewandowski Street,Lyndhurst,07071,(848) 248-0785,lyndhurstnj@goddardschools.com,0 - 13 years,169.0
Bergen,CCC122181,Child Care Center,Boys & Girls Clubs of LBC’s Comet Academic After-School Partnership (CAAP) @ HMS,321 State Street,Hackensack,07601,(973) 473-7410,NRossi@bgclbergen.org,6 - 13 years,296.0
Bergen,CCC121696,Child Care Center,Bright Adventures,547-555 Main Street,Hackensack,07601,(201) 546-7462,brightadventureshackensack@gmail.com,0 - 13 years,204.0
Bergen,CCC121662,Child Care Center,Meadows Montessori,150 Franklin Avenue,Oakland,07436,(201) 675-8726,meadowsmontessori.nj@gmail.com,2 1/2 - 13 years,52.0
Bergen,CCC121569,Child Care Center,Junior Explorers,764 Grant Avenue,Maywood,07607,(201) 615-5166,jrexplorersbcac@gmail.com,6 - 13 years,160.0
Bergen,CCC121560,Child Care Center,Right at School at Fort Lee 4,1193 Anderson Avenue,Fort Lee,07024,(201) 658-6465,valerie.rana@rightatschool.com,6 - 13 years,150.0
Bergen,CCC121559,Child Care Center,Right at School at Fort Lee 2,2047 Jones Road,Fort Lee,07024,(201) 658-5813,valerie.rana@rightatschool.com,6 - 13 years,161.0
Bergen,CCC121558,Child Care Center,Right at School at Fort Lee 3,2405 second Street,Fort Lee,07024,(201) 658-6371,valerie.rana@rightatschool.com,6 - 13 years,100.0
Bergen,CCC121557,Child Care Center,Right at School at Fort Lee 1,250 Hoym Street,Fort Lee,07024,(201) 658-4691,valerie.rana@rightatschool.com,6 - 13 years,180.0
Bergen,CCC121555,Child Care Center,Right at School at Lewis F Cole Intermediate,467 Stillwell Avenue,Fort Lee,07024,(201) 658-8793,valerie.rana@rightatschool.com,6 - 13 years,180.0
Bergen,CCC121369,Child Care Center,AlphaBEST at Roosevelt School River Edge,711 Summit Ave,River Edge,07661,(201) 918-0751,ksantos@alphabest.org,6 - 13 years,180.0
Bergen,CCC121368,Child Care Center,AlphaBEST at Cherry Hill School,410 Bogert Rd,River Edge,07661,(201) 918-0435,ksantos@alphabest.org,6 - 13 years,180.0
Bergen,CCC121354,Child Care Center,Infant Toddler Development Center,45 S Pleasant Av,Ridgewood,07450,(201) 445-0642,lkontos@rpsnj.us,0 - 6 years,82.0
Bergen,CCC121237,Child Care Center,Gan Henel Teaneck North,1377 Palisade Ave,Teaneck,07666,(201) 308-3042,ganalizateaneck@gmail.com,0 - 6 years,45.0
Bergen,CCC121048,Child Care Center,Little Red Apple Learning Center - Bergenfield,35 N William Street,Bergenfield,07621,(201) 338-4381,littleredapplelearningcenters@gmail.com,2 1/2 - 13 years,30.0
Bergen,CCC120960,Child Care Center,The Vineyard Schools,11 Park Place,Paramus,07652,(201) 267-2200,samuel.beshara@thevineyardschools.org,0 - 13 years,153.0
Bergen,CCC120456,Child Care Center,Bethany Christian Academy,605 Pascack Road,Township of Washington,07676,(201) 898-2000,Carmeng@bethanyca.com,0 - 13 years,120.0
Bergen,CCC120042,Child Care Center,Estrella's Early Learning Center #2,2 Arnot Street,Lodi,07644,(201) 218-1846,estrellaelctoo@gmail.com,0 - 13 years,59.0
Bergen,CCC119694,Child Care Center,Garfield Middle School 21CCLC,175 Lanza Avenue,Garfield,07026,(862) 881-0577,abanch@bgcgarfield.org,6 - 13 years,150.0
Bergen,CCC119626,Child Care Center,SUNSHINE CHILDCARE CORP,170 PROSPECT AVE,HACKENSACK,07601,(973) 204-0589,sunshinechildcarenj@gmail.com,0 - 6 years,27.0
Bergen,CCC119516,Child Care Center,AlphaBEST at Steen Elementary,134 West Main St.,Bogota,07603,(551) 204-6478,ianderson@alphabest.org,2 1/2 - 13 years,180.0
Bergen,CCC119515,Child Care Center,AlphaBEST at Bixby Elementary,25 Fischer Ave.,Bogota,07603,(973) 739-4511,ianderson@alphabest.org,2 1/2 - 13 years,144.0
Bergen,CCC119410,Child Care Center,AlphaBEST at Columbus School,640 Lake Ave,Lyndhurst,07071,(973) 647-4901,rknapp@alphabest.org,6 - 13 years,101.0
Bergen,CCC119409,Child Care Center,AlphaBEST at Franklin School,360 Stuyvesant Ave,Lyndhurst,07071,(973) 647-4901,rknapp@alphabest.org,6 - 13 years,54.0
Bergen,CCC119408,Child Care Center,AlphaBEST at Washington School,709 Ridge Rd,Lyndhurst,07071,(973) 647-4901,rknapp@alphabest.org,6 - 13 years,83.0
Bergen,CCC119407,Child Care Center,AlphaBEST at Jefferson School,336 Lake Ave,Lyndhurst,07071,(973) 647-4901,rknapp@alphabest.org,6 - 13 years,70.0
Bergen,CCC119406,Child Care Center,AlphaBEST at Roosevelt,530 Stuyvesant Avenue,Lyndhurst,07071,(973) 647-4901,ngeorge@alphabest.org,6 - 13 years,106.0
Bergen,CCC119270,Child Care Center,KCE  Champions LLC @ Hillside,340 Homans Avenue,Closter,07624,(848) 247-2120,smathias@discoverchampions.com,6 - 13 years,80.0
Bergen,CCC119170,Child Care Center,YWCANNJ @Harrington Park,191 Harriot Avenue,Harrington Park,07640,(201) 345-1905,dpinto@ywcannj.org,6 - 13 years,127.0
Bergen,CCC118614,Child Care Center,Mindful Montessori,Trinity Reformed Church,Old Tappan,07675,(201) 559-5965,lina@mindfulmontessori.us,2 1/2 - 6 years,67.0
Bergen,CCC118613,Child Care Center,Cresthill Academy Lyndhurst,55 Park Ave,Lyndhurst,07071,(201) 971-2988,lyndhurst@cresthillacademy.com,0 - 13 years,128.0
Bergen,CCC118424,Child Care Center,Guidepost Montessori at Mahwah,25 Edison,Mahwah,07430,(949) 354-2259,mahwah-compliance@guidepostmontessori.com,0 - 13 years,180.0
Bergen,CCC118367,Child Care Center,Appletree Preschool,276 Haworth Avenue,Haworth,07641,(201) 338-2663,haworth@appletreenj.com,0 - 13 years,60.0
